,names,nfollowers,ntweets,type
398,amycatalinac,,82,
399,kesearles,,14647,
400,ktumulty,,28738,
401,WildKingdom,,3216,
402,Edsall,,3926,
403,FRNY_News,,3259,
404,VinArceneaux,,79,
405,marcmaron,,54362,
406,jonmladd,,16620,
407,zeynep,,76158,
408,tuckerdrob,,785,
409,rizmc,,13670,
410,hasanminhaj,,2689,
411,broadinstitute,,5080,
412,interact_minds,,2411,
413,ConanOBrien,,3071,
414,StephenAtHome,,5196,
415,jessesingal,,67681,
416,DeadRabbitNYC,,2892,
417,betsylevyp,,4401,
418,PoliPsyProf,,1209,
419,DeutschesHausNY,,3652,
420,JamesFallows,,18817,
421,davidaxelrod,,7573,
422,emilythorson,,2951,
423,patrickaturley,,48,
424,FAANews,,5804,
425,NeilBigBusiness,,1045,
426,AoDespair,,46051,
427,guardian_sport,,144695,
428,NinjaEconomics,,24874,
429,brianstelter,,143048,
430,SenSchumer,,10943,
431,aedwardslevy,,23408,
432,GabeLenz,,607,
433,teentheband,,4629,
434,NYULGBTQ,,3841,
435,BkSteelNYC,,284,
436,MusicHallofWB,,4422,
437,MercuryLoungeNY,,13392,
438,KSchultz3580,,1408,
439,jonmummolo,,86,
440,jasondboardman,,39,
441,barryfriedman1,,3383,
442,dataandpolitics,,8925,
443,dandrezner,,129151,
444,ProPublica,,48125,
445,leedrutman,,5223,
446,JaneLSumner,,811,
447,cmMcConnaughy,,5230,
448,dandekadt,,3076,
449,justinmgottscha,,3,
450,MikeHoutNY,,21,
451,NYUpolitics,,45,
452,sarahobolt,,680,
453,CESS_LAC,,56,
454,genehumanagency,,13,
455,LSEUSAblog,,19790,
456,costareports,,29579,
457,aecoppock,,1039,
458,JohnHolbein1,,696,
459,ProfBoydstun,,32,
460,adamleealter,,8494,
461,JohnJost1,,325,
462,homesweethome,,7342,
463,NiemanLab,,37466,
464,hannawallach,,1204,
465,dog_rates,,5243,
466,realDonaldTrump,,35580,
467,sidlowe,,144205,
468,honigstein,,32597,
469,bglendenning,,48371,
470,acjimbo,,3802,
471,FiveThirtyEight,,42220,
472,CillizzaCNN,,110316,
473,NWS,,15410,
474,NWSNewYorkNY,,11767,
475,RaymondPettibon,,42401,
476,PolicingProject,,2032,
477,ChrisPolPsych,,3934,
478,andyguess,,2512,
479,NYUCAS,,4736,
480,millerpolsci,,4472,
481,littleconnors,,81,
482,PhilEJones,,159,
483,jasonjones_jjj,,167,
484,NYCityAlerts,,31064,
485,GovChristie,,9004,
486,nyunews,,13788,
487,DegenRolf,,7061,
488,primalpoly,,5045,
489,danieldennett,,426,
490,mierkezat,,812,
491,AaArechar,,152,
492,jaredpolis,,5533,
493,McFaul,,45947,
494,FisolaNYDN,,21012,
495,jonwoon,,358,
496,kramtrak,,8120,
497,keithschnak,,1853,
498,ACLU,,35159,
499,RepJerryNadler,,3657,
500,PoliticsWolf,,35774,
501,psExperiment,,15,
502,JasonReifler,,622,
503,SenGillibrand,,14884,
504,GoldenGateNPS,,4556,
505,PKoellinger,,42,
506,blfraga,,1832,
507,BarackObama,,15455,
508,julie_wronski,,27,
509,beth_simas,,78,
510,olegsmirnov17,,145,
511,Add_Health,,374,
512,MeCookieMonster,,440,
513,CountVonCount,,1399,
514,mia_iris_costa,,1274,
515,ThingsWork,,770,
516,IGSSConference,,24,
517,jasonmfletcher,,1053,
518,StatModeling,,3864,
519,frankrichny,,5850,
520,thepointsguy,,37118,
521,OlleFolke,,521,
522,Interior,,17247,
523,tomtomorrow,,4959,
524,LGAairport,,1899,
525,AJHGNews,,3841,
526,JFKairport,,1703,
527,SamaraKlar,,1609,
528,seth_j_hill,,26,
529,mieuque,,38,
530,theholdsteady,,3711,
531,Japandroids,,45,
532,Hadas_Gold,,32929,
533,Rich_Fulcher,,6824,
534,noelfielding11,,6372,
535,tonybertelli,,363,
536,darrenrovell,,128483,
537,b_schaffner,,3276,
538,smotus,,16679,
539,aasiegel,,355,
540,AlbertsonB2,,25190,
541,TessaWestNYU,,216,
542,NYCMayor,,9989,
543,daveweigel,,171365,
544,JFiva,,1899,
545,julia_azari,,10372,
546,ablais_udem,,372,
547,StratOMatic,,8500,
548,bcburden,,1728,
549,aaronweinschenk,,1587,
550,soodoku,,15996,
551,TomPepinsky,,4815,
552,HumBehEvoSoc,,150,
553,AbePalmer,,2813,
554,CoryBooker,,60463,
555,Rupal_N_Mehta,,526,
556,silverjews,,324,
557,BNastanovich,,4155,
558,yonatanlupu,,275,
559,PRQjournal,,99,
560,BrianLehrer,,46632,
561,rad8652,,223,
562,LupaOsteria,,1063,
563,andrewbhall,,66,
564,j_kalla,,1276,
565,nyuanthro,,470,
566,peterjohn10,,561,
567,nelscline,,820,
568,ASAnews,,8812,
569,seanjtaylor,,10817,
570,electionsmith,,13274,
571,NYUDataScience,,579,
572,renelisme,,317,
573,ericandre,,664,
574,hannibalburess,,2200,
575,davidcrosss,,4983,
576,smith_harvard,,1197,
577,nyhackr,,392,
578,siminevazire,,3660,
579,kmmunger,,96,
580,VP44,,3657,
581,thescienceofus,,20849,
582,BobMehr,,2998,
583,WiebkeBleidorn,,12,
584,melissaleesands,,1391,
585,wkamaubell,,33544,
586,kumailn,,27637,
587,UU_University,,1361,
588,bnbakker,,923,
589,epicurious,,49132,
590,adamliptak,,3688,
591,ProfADM,,3016,
592,billyeichner,,23447,
593,burnettpolisci,,153,
594,MollyHuddle,,2381,
595,devlamingr,,7,
596,NYCTSubway,,194044,
597,DavidRedlawsk,,8009,
598,DouthatNYT,,24905,
599,mendel_random,,2240,
600,timothycbates,,4146,
601,msimonespn,,48397,
602,pquerubo,,440,
603,MattGrossmann,,5646,
604,BeschlossDC,,10407,
605,openelex,,1769,
606,JasonandAxel,,3738,
607,neilnarang1,,0,
608,hsu_steve,,1379,
609,ArtsandScience,,3572,
610,johnhawks,,15907,
611,Doughbies,,2039,
612,MountainLionP22,,303,
613,liviodilo,,346,
614,Delta,,523714,
615,PredictWise,,2506,
616,FlorianFoos,,2129,
617,MargRev,,10005,
618,conor_m_dowling,,33,
619,MattLebo4,,810,
620,AprilAJohnson,,635,
621,SFGiants,,72996,
622,ylelkes,,2576,
623,R_Programming,,524,
624,ent3c,,484,
625,LarsPenke,,1535,
626,ChicagoJournals,,1841,
627,92Y,,28274,
628,POTUS,,1027,
629,POTUS44,,352,
630,rkwrice,,1084,
631,matt_blackwell,,3156,
632,Liz_Suhay,,74,
633,Noahsyndergaard,,1633,
634,SFist,,32334,
635,KarlTheFog,,10445,
636,Xtheband,,1808,
637,kph3k,,1390,
638,uri_sohn,,1152,
639,rOpenSci,,3732,
640,NYULibraries,,2152,
641,ZiF_Bi,,520,
642,NYUAbuDhabi,,1924,
643,indridih,,796,
644,bleveck,,145,
645,ryan_jablonski,,139,
646,JoHenrich,,400,
647,s_soroka,,291,
648,RyanLizza,,16281,
649,godslovenyc,,23159,
650,arthur_spirling,,1246,
651,GarettJones,,1363,
652,mjbsp,,7146,
653,hhannahnam,,39,
654,erlichya,,4860,
655,BRICcelebrateBK,,5221,
656,TimHarford,,35339,
657,paperpile,,951,
658,AmericanExpress,,53514,
659,NewYorkFBI,,1239,
660,BklynBrdgPark,,6127,
661,saadgulzar,,7743,
662,ohmyrockness,,51546,
663,MTA,,8769,
664,karolinskainst,,2778,
665,kstrump,,1792,
666,NuffieldCESS,,228,
667,David_Dobbs,,74613,
668,nyupb,,1745,
669,BronxZoo,,4179,
670,pete_enns,,666,
671,DCInbox,,4884,
672,The_JOP,,121,
673,BioinfoRepos,,370,
674,DARTsupporters,,69,
675,niftynyc,,13886,
676,casey6r0wn,,2418,
677,MaxCRoser,,3529,
